"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2012020395","2","away",TRUE,"REG","Jack Capuano",2,29,17,4,1,1,56,9,6
"2012020070","2","away",FALSE,"OT","Jack Capuano",4,25,26,14,2,1,41.3,8,5
"2012020704","2","away",FALSE,"SO","Jack Capuano",1,31,23,21,4,0,50.8,9,5
"2012020465","2","home",TRUE,"REG","Jack Capuano",3,37,34,4,2,1,48.3,15,10
"2013020789","2","home",FALSE,"REG","Jack Capuano",3,37,32,4,5,0,61.4,17,12
"2013020397","2","home",FALSE,"OT","Jack Capuano",2,39,30,2,2,0,58.3,16,7
"2013020346","2","away",FALSE,"REG","Jack Capuano",2,38,30,6,3,0,42.6,9,3
"2013020367","2","home",FALSE,"REG","Jack Capuano",2,30,19,4,4,1,46.3,19,5
"2012020532","2","home",TRUE,"REG","Jack Capuano",5,39,23,4,1,1,54.2,13,14
"2013021225","2","away",TRUE,"SO","Jack Capuano",3,25,23,21,2,1,47.7,8,6
"2013020481","2","away",FALSE,"REG","Jack Capuano",3,24,27,22,3,0,58.5,5,3
"2012020444","2","home",FALSE,"REG","Jack Capuano",2,27,23,8,4,0,50.8,18,6
"2012020694","2","away",FALSE,"REG","Jack Capuano",1,22,28,8,1,0,47.3,8,10
"2013020083","2","home",FALSE,"SO","Jack Capuano",3,44,25,17,3,1,51.5,13,13
"2013020234","2","away",FALSE,"REG","Jack Capuano",0,21,13,13,3,0,37.8,12,8
"2012020265","2","home",FALSE,"REG","Jack Capuano",2,25,14,6,3,0,48.4,11,9
"2013020946","2","away",FALSE,"OT","Jack Capuano",2,34,27,13,4,0,50,15,8
"2012020413","2","away",TRUE,"REG","Jack Capuano",4,25,40,7,0,0,52.9,4,1
"2013020493","2","home",FALSE,"OT","Jack Capuano",0,21,31,11,3,0,44.6,7,15
"2013021196","2","away",TRUE,"REG","Jack Capuano",2,30,24,13,3,2,29.8,3,4
"2012020129","2","home",FALSE,"REG","Jack Capuano",2,34,13,11,7,0,52.8,13,7
"2013020613","2","home",TRUE,"OT","Jack Capuano",3,34,13,2,2,0,48.1,11,6
"2013020996","2","home",FALSE,"REG","Jack Capuano",3,38,32,2,0,0,53.7,11,12
"2012020452","2","home",FALSE,"REG","Jack Capuano",2,35,23,9,2,0,43.4,9,12
"2013020024","2","home",FALSE,"SO","Jack Capuano",2,30,20,4,2,1,50.8,12,7
"2012020356","2","home",TRUE,"REG","Jack Capuano",5,45,23,6,6,2,53.2,18,13
"2013020255","2","away",FALSE,"REG","Jack Capuano",2,26,15,20,4,2,47.7,5,1
"2012020083","2","away",TRUE,"REG","Jack Capuano",4,24,14,21,2,2,43.1,2,6
"2012020220","2","home",FALSE,"REG","Jack Capuano",0,19,13,18,5,0,53.7,10,12
"2012020325","2","home",TRUE,"REG","Jack Capuano",6,24,25,10,5,2,50,13,10
"2013020701","2","away",FALSE,"REG","Jack Capuano",2,33,37,10,3,0,50,4,4
"2012020228","2","away",FALSE,"REG","Jack Capuano",1,38,14,10,4,0,52,16,6
"2013020558","2","away",TRUE,"REG","Jack Capuano",3,19,18,2,1,0,43.5,7,6
"2012020278","2","home",FALSE,"REG","Jack Capuano",1,37,21,8,3,0,42.9,8,14
"2013020974","2","away",TRUE,"REG","Jack Capuano",7,28,31,8,7,3,45.8,5,9
"2013021008","2","home",TRUE,"REG","Jack Capuano",4,38,32,19,3,1,53.4,5,4
"2013020457","2","away",FALSE,"REG","Jack Capuano",2,37,26,21,4,1,56.5,3,7
"2013020806","2","home",FALSE,"REG","Jack Capuano",1,31,16,4,4,0,55.7,10,9
"2012020241","2","away",TRUE,"OT","Jack Capuano",4,25,26,17,4,2,47.8,11,1
"2013020672","2","away",TRUE,"OT","Jack Capuano",2,24,33,4,2,0,41.7,1,8
"2013020878","2","home",FALSE,"REG","Jack Capuano",2,33,9,6,6,2,63.8,11,1
"2012020493","2","away",TRUE,"SO","Jack Capuano",3,36,31,11,5,0,46.2,8,3
"2013020448","2","away",FALSE,"REG","Jack Capuano",0,16,31,16,4,0,43.5,8,3
"2012020613","2","home",FALSE,"OT","Jack Capuano",0,29,20,10,2,0,59.3,13,6
"2012020254","2","away",TRUE,"REG","Jack Capuano",4,32,18,20,4,1,46.7,2,6
"2013020313","2","away",FALSE,"REG","Jack Capuano",2,37,34,14,2,0,44.8,8,6
"2012020341","2","home",FALSE,"OT","Jack Capuano",1,29,26,18,0,0,43.9,9,5
"2013020903","2","home",FALSE,"REG","Jack Capuano",1,19,47,66,3,0,48.6,7,8
"2013020914","2","home",FALSE,"REG","Jack Capuano",3,38,15,25,6,1,40.6,10,6
"2013021082","2","away",TRUE,"REG","Jack Capuano",5,32,30,8,3,0,43.2,6,9
"2013020686","2","away",TRUE,"REG","Jack Capuano",4,31,33,4,2,0,44.8,2,7
"2013020098","2","home",TRUE,"REG","Jack Capuano",3,40,28,6,5,1,40,1,13
"2013020643","2","home",TRUE,"REG","Jack Capuano",7,43,26,8,5,3,62.5,7,12
"2013021208","2","away",TRUE,"SO","Jack Capuano",2,30,29,2,3,1,56.7,7,11
"2014020676","2","home",TRUE,"REG","Jack Capuano",7,41,59,6,4,1,42.6,16,9
"2014020068","2","away",FALSE,"REG","Jack Capuano",1,35,36,29,7,0,46,8,1
"2014020484","2","home",TRUE,"REG","Jack Capuano",3,48,46,4,3,0,57.4,20,17
"2014020221","2","home",TRUE,"REG","Jack Capuano",6,46,40,8,6,1,52.2,7,16
"2014021214","2","away",TRUE,"REG","Jack Capuano",3,26,44,4,1,0,36,4,2
"2014021223","2","home",FALSE,"SO","Jack Capuano",4,52,30,17,3,0,53.7,22,15
"2014020476","2","away",TRUE,"REG","Jack Capuano",2,32,21,4,3,0,53.8,6,6
"2014020887","2","home",FALSE,"REG","Jack Capuano",0,37,34,6,5,0,53.7,17,15
"2014021023","2","home",FALSE,"REG","Jack Capuano",1,36,36,8,5,1,53.8,22,18
"2014020335","2","away",FALSE,"REG","Jack Capuano",2,28,25,9,2,0,38.2,5,5
"2014020313","2","home",TRUE,"SO","Jack Capuano",0,46,30,9,3,0,48.5,19,22
"2014020545","2","away",TRUE,"REG","Jack Capuano",5,33,15,8,7,2,49.2,15,7
"2014021047","2","away",FALSE,"REG","Jack Capuano",1,39,38,2,2,0,44.1,6,6
"2014020760","2","away",TRUE,"SO","Jack Capuano",2,30,48,7,1,0,46.6,10,5
"2014020038","2","away",TRUE,"REG","Jack Capuano",6,27,26,8,4,1,47.5,10,3
"2014020081","2","home",FALSE,"REG","Jack Capuano",2,36,23,20,6,1,39.3,2,7
"2014020195","2","away",TRUE,"SO","Jack Capuano",1,26,29,8,5,1,40,11,7
"2014021013","2","home",FALSE,"REG","Jack Capuano",1,35,29,2,3,0,62.9,23,19
"2014021173","2","home",TRUE,"REG","Jack Capuano",3,36,20,20,2,1,53.5,12,9
